City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Padang,ID,2020-04-14 22:02:56,-0.95,100.35,78.53,73,66,2.75
179,Husavik,IS,2020-04-14 22:09:07,66.04,-17.34,41.0,52,75,17.22
180,Dunedin,NZ,2020-04-14 22:06:36,-45.87,170.5,48.99,68,71,1.01
181,Ometepec,MX,2020-04-14 22:09:08,16.68,-98.42,92.41,32,0,10.31
182,Kysyl-Syr,RU,2020-04-14 22:09:08,63.9,122.76,33.17,91,100,10.2
183,Zhigansk,RU,2020-04-14 22:05:44,66.77,123.37,10.51,90,3,17.76
184,Kumluca,TR,2020-04-14 22:09:09,36.37,30.29,59.97,59,65,3.18
185,Acapulco,MX,2020-04-14 22:05:41,16.86,-99.89,82.4,74,40,10.29
186,Tucupita,VE,2020-04-14 22:09:10,9.06,-62.05,90.36,41,99,7.78
187,Sokoni,TZ,2020-04-14 22:09:10,-6.43,39.55,80.6,83,20,4.7
188,Huaiyuan,CN,2020-04-14 22:09:11,32.97,117.2,51.66,78,18,2.84
189,Saint-Philippe,RE,2020-04-14 22:04:43,-21.36,55.77,75.2,88,1,19.46
190,Goundam,ML,2020-04-14 22:09:12,16.41,-3.67,86.23,34,64,26.11
191,Khatanga,RU,2020-04-14 22:03:51,71.97,102.5,-5.96,90,88,4.94
192,Goderich,CA,2020-04-14 22:05:49,43.75,-81.72,39.99,73,89,19.24
193,Northam,GB,2020-04-14 22:09:13,51.03,-4.22,44.01,86,0,7.05
194,Talnakh,RU,2020-04-14 22:02:56,69.49,88.4,-0.4,77,27,20.13
195,Behshahr,IR,2020-04-14 22:09:13,36.69,53.55,46.4,93,3,2.24
196,Samarai,PG,2020-04-14 22:08:34,-10.62,150.67,81.05,82,77,4.56
197,Nanortalik,GL,2020-04-14 22:05:48,60.14,-45.24,30.18,93,14,7.47
198,Ribeira Grande,PT,2020-04-14 22:04:38,38.52,-28.7,53.6,76,75,17.22
199,Airai,TL,2020-04-14 22:05:19,-8.93,125.41,60.4,68,86,2.3
200,Kankaanpaa,FI,2020-04-14 22:09:15,61.8,22.42,32.0,97,100,4.7
201,Pina,PH,2020-04-14 22:09:15,12.19,124.4,76.73,84,0,7.4
202,Smithers,CA,2020-04-14 22:09:15,54.78,-127.17,51.8,66,40,13.87
203,Silvan,TR,2020-04-14 22:09:16,38.14,41.01,42.8,93,0,5.82
204,Sabla,NG,2020-04-14 22:08:22,12.75,4.71,90.48,11,0,4.76
205,Manta,EC,2020-04-14 22:09:17,-0.95,-80.73,80.6,74,40,10.29
206,Oparino,RU,2020-04-14 22:09:17,59.85,48.28,34.56,85,79,10.09
207,Riverton,US,2020-04-14 22:09:18,40.52,-111.94,51.8,34,90,17.22
208,Talara,PE,2020-04-14 22:09:18,-4.58,-81.27,78.66,66,26,9.6
209,Kraslava,LV,2020-04-14 22:09:18,55.9,27.17,32.85,87,100,11.72
210,La Libertad,EC,2020-04-14 22:09:19,-2.23,-80.9,80.6,74,15,10.29
211,Lata,PT,2020-04-14 22:04:53,40.16,-8.33,63.0,77,20,6.93
212,Bichura,RU,2020-04-14 22:09:19,50.59,107.6,34.65,70,100,7.11
213,Aksu,CN,2020-04-14 22:09:19,41.12,80.26,64.98,17,67,5.28
214,Santa Cruz,BO,2020-04-14 22:04:33,-17.8,-63.17,78.8,47,75,11.41
215,Demidov,RU,2020-04-14 22:09:20,55.27,31.52,35.26,80,76,8.41
216,Bandarbeyla,SO,2020-04-14 22:03:22,9.49,50.81,82.38,74,20,8.86
217,Srednekolymsk,RU,2020-04-14 22:03:00,67.45,153.68,-5.64,89,4,0.85
218,Guadalupe Y Calvo,MX,2020-04-14 22:09:21,26.1,-106.97,71.19,8,17,12.28
219,Ayagoz,KZ,2020-04-14 22:09:21,47.97,80.44,46.44,71,100,5.95
220,Verkhnyaya Inta,RU,2020-04-14 22:09:21,65.98,60.31,28.83,94,55,8.55
221,Gunjur,GM,2020-04-14 22:09:22,13.2,-16.73,77.0,61,89,10.29
222,Mayo,US,2020-04-14 22:09:22,38.89,-76.51,57.99,50,75,10.29
223,Fairbanks,US,2020-04-14 22:07:40,64.84,-147.72,44.6,48,1,12.75
224,Alta Floresta,BR,2020-04-14 22:09:23,-9.88,-56.09,75.2,100,90,3.36
225,Kintinku,TZ,2020-04-14 22:09:23,-5.88,35.23,69.8,88,75,12.75
226,Shingu,JP,2020-04-14 22:06:55,33.73,135.98,49.53,47,83,5.99
227,Hamilton,US,2020-04-14 22:03:06,39.18,-84.53,48.99,36,75,12.75
228,Geraldton,AU,2020-04-14 22:04:39,-28.77,114.6,62.6,77,40,6.93
229,Quatre Cocos,MU,2020-04-14 22:09:24,-20.21,57.76,78.01,83,75,14.99
230,Rundu,NA,2020-04-14 22:05:11,-17.93,19.77,75.2,69,9,1.12
231,Chokurdakh,RU,2020-04-14 22:02:57,70.63,147.92,-12.05,90,1,4.99
232,Rincon,US,2020-04-14 22:09:25,32.3,-81.24,84.2,51,75,11.41
233,Aklavik,CA,2020-04-14 22:05:06,68.22,-135.01,35.6,69,75,3.36
234,Yulara,AU,2020-04-14 22:01:07,-25.24,130.99,59.0,26,10,4.7
235,Lixourion,GR,2020-04-14 22:09:26,38.2,20.43,62.01,48,100,17.13
236,Westport,US,2020-04-14 22:09:27,41.14,-73.36,57.2,45,1,8.05
237,Siniscola,IT,2020-04-14 22:09:27,40.57,9.69,53.6,93,9,2.24
